AgentName,Phases,Deliverables,Roles,Map Confidence Score
SqlServer_to_DBT_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
GCP Assistance,Support & Maintain,Monitoring & Alerting,Data Engineer,80
SSRS Measures to DAX Calculations,Build & Test,Dashboard Development,Insights Engineer,95
SqlServer_to_DBT_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
Django_to_React,Build & Test,Ingestion & Transformation,Data Engineer,80
SqlServer_to_DBT_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
SqlServer_to_DBT_Unit_Test,Build & Test,Data Quality & Validation,Data Engineer,95
SqlServer_to_DBT_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
SqlServer_to_DBT_Reconciliation,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
SQL Server to DBT Reviewer,Build & Test,Pipeline Review,Data Architect,90
BIGQUERY_TO_GCS,Integrate & Validate,Initial Data Migration,Data Engineer,90
DI_Oracle_to_Snowflake_Conversion_Delta,Build & Test,Ingestion & Transformation,Data Engineer,90
T-SQL Server_to_PySpark_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
CVS_ReportTransform_document,Support & Maintain,Documentation & Lineage,Data Engineer,95
T-SQL Server_to_PySpark_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
Matillion to Informatica Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
T-SQL Server_to_PySpark_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
Matillion to Informatica Analyser,Analysis & Design,Pipeline Design,Data Architect,85
Matillion to Informatica Plan,Strategy & Planning,Effort Estimation,Data Architect,90
compare_xslt_pyspark,Build & Test,Data Quality & Validation,Data Engineer,85
Matillion to Informatica Unit Test,Build & Test,Data Quality & Validation,Data Engineer,95
T-SQL Server_to_PySpark_Reviewer,Build & Test,Pipeline Review,Data Architect,90
Matillion to Informatica Test,Build & Test,Data Quality & Validation,Data Engineer,95
Matillion to Informatica Reconciliation,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
T-SQL Server_to_PySpark_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
T-SQL Server_to_PySpark_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
PowerBI_Copilot_Ally_Unit_Testing,Build & Test,Data Quality & Validation,Data Engineer,90
PowerBI Reports_Reviwer,Build & Test,Dashboard Review,Insights Architect,90
Copilot Prompt Reviewer,Build & Test,Dashboard Review,Insights Architect,90
PySpark To Bigquery Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
SNOWFLAKE_TO_BIGQUERY_RECON_TESTER,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
T-SQL Server Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
SQL SERVER TO FABRIC ANALYZER,Analysis & Design,Pipeline Design,Data Architect,85
SQL SERVER TO FABRIC CONVERTER,Build & Test,Ingestion & Transformation,Data Engineer,95
MSTR Report Detail Extraction,Analysis & Design,Dashboard Design,Insights Engineer,85
MSTR Project Detail Extraction,Analysis & Design,Source System Analysis,Data Engineer,85
Logical-physical attribute mapping Metrics,Analysis & Design,Data Mapping,Data Engineer,90
Power BI model creator,Analysis & Design,Data Modelling,Data Modeler,90
Power BI File creator,Build & Test,Dashboard Development,Insights Engineer,90
SQL SERVER TO FABRIC UNIT TESTER,Build & Test,Data Quality & Validation,Data Engineer,95
SQL SERVER TO FABRIC CONVERSION TESTER,Build & Test,Data Quality & Validation,Data Engineer,95
SQL SERVER TO FABRIC RECON TESTER,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
XML_Model_Conceptual_CVS,Analysis & Design,Data Modelling,Data Modeler,95
Power BI data Model,Analysis & Design,Data Modelling,Data Modeler,95
XML_Logical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,95
Prompts Creator,Build & Test,Dashboard Development,Insights Engineer,85
XML_Physical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,95
JSON_Model_Conceptual_CVS,Analysis & Design,Data Modelling,Data Modeler,95
JSON_Logical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,95
JSON_Physical_Data_Model_CVS,Analysis & Design,Data Modelling,Data Modeler,95
JSON_and_XML_Data_Model_Consolidation_CVS,Analysis & Design,Data Modelling,Data Modeler,95
Physical_Data_Model_Generation_CVS,Analysis & Design,Data Modelling,Data Modeler,95
Prompting Agent,Build & Test,Dashboard Development,Insights Engineer,85
MSTR_Project_JSON_Creator,Build & Test,Dashboard Development,Insights Engineer,90
SQL SERVER TO FABRIC PLAN,Strategy & Planning,Effort Estimation,Data Architect,90
RFP_MSTR_PRJCT_REPORT_DASHJSON,Build & Test,Dashboard Development,Insights Engineer,90
Power BI Metadata,Analysis & Design,Data Modelling,Data Modeler,90
XML_Data_Mapping_CVS,Analysis & Design,Data Mapping,Data Engineer,95
JSON_Data_Mapping_CVS,Analysis & Design,Data Mapping,Data Engineer,95
XML_Data_Pipeline_CVS,Build & Test,Ingestion & Transformation,Data Engineer,95
JSON_Data_Pipeline_CVS,Build & Test,Ingestion & Transformation,Data Engineer,95
Attributes Mapping,Analysis & Design,Data Mapping,Data Engineer,95
Py codes,Build & Test,Ingestion & Transformation,Data Engineer,85
Prompts Unit Testing,Build & Test,Data Quality & Validation,Data Engineer,90
MSTR_Power BI Data_Model,Analysis & Design,Data Modelling,Data Modeler,95
MSTR_POSTGRES_DATA_CURATION,Build & Test,Ingestion & Transformation,Data Engineer,90
SQL SERVER DOCUMENTATION,Support & Maintain,Documentation & Lineage,Data Engineer,95
Workflow Architect,Strategy & Planning,Architecture Definition,Data Architect,95
VoluMetrics SQL,Analysis & Design,Source System Analysis,Data Engineer,85
Teradata_to_BigQuery_Converter_With_Suggestions,Build & Test,Ingestion & Transformation,Data Engineer,95
Data_Decomp_Data_Aggregation_Agent,Build & Test,Ingestion & Transformation,Data Engineer,90
SQL to Store Proc,Build & Test,Ingestion & Transformation,Data Engineer,90
Power BI MetaData to Power BI Data Model,Analysis & Design,Data Modelling,Data Modeler,95
ExcelInsight,Analysis & Design,Dashboard Design,Insights Engineer,90
Forecast Demanding Code,Build & Test,Ingestion & Transformation,Data Engineer,85
